0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:03 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:03 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:03 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:06 +0900] "POST /bookmarket/processAddBook.jsp HTTP/1.1" 500 3244
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:17 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:17 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:49 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:49 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:50 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:50 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:53 +0900] "POST /bookmarket/processAddBook.jsp HTTP/1.1" 500 3244
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:54 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:54 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:13:04 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:13:04 +0900] "GET /resources/js/bookmarket.js HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:13:05 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:13:08 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:13:19 +0900] "POST /bookmarket/processAddBook.jsp HTTP/1.1" 500 3244
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:13:21 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:13:21 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:13:41 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:13:41 +0900] "GET /resources/js/bookmarket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:13:41 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:15:20 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:15:20 +0900] "GET /resources/js/bookmarket.js HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:15:20 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:15:20 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:15:20 +0900] "GET /resources/js/bookmarket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:15:20 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:17:08 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:17:08 +0900] "GET /resources/js/bookmarket.js HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:17:08 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:17:08 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:17:08 +0900] "GET /resources/js/bookmarket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:17:08 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:17:10 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:17:10 +0900] "GET /resources/js/bookmarket.js HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:17:10 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 144883
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:17:10 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:17:10 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
